x,y,theta,v_desired,omega_desired,v_safe,omega_safe
[0.48324987],[2.79482576],[-2.73622108],0.5661543265153959,-0.25337870617162705,1.11786e-08,-0.253379
[0.48324986],[2.79482575],[-2.78689683],0.4511759323253817,-0.4798071381898321,0.000108953,-0.479062
[0.48322943],[2.79481819],[-2.88270927],0.21949635280836902,-1.5962263339449125,-0.00547275,-0.780082
[0.48428751],[2.79509839],[-3.03872562],0.02761556963713072,-2.3895008881089277,0.00554745,-0.785398
[0.48318388],[2.79498446],[-3.19580526],0.16500049132073583,-0.5310129979253557,1.43635e-08,-0.531013
[0.48318388],[2.79498446],[-3.30200786],0.4546406141986977,2.22345796500937,5.24617e-09,0.785398
[0.48318388],[2.79498446],[-3.14492822],0.11764782761879031,-0.7173130240891852,-8.14018e-09,-0.717313
[0.48318388],[2.79498446],[-3.28839082],0.4920402302326503,0.2255791711340116,8.94316e-09,0.225579
[0.48318388],[2.79498446],[-3.24327498],0.031856735501327636,2.193972695506341,-2.89336e-05,0.785398
[0.48318963],[2.79498388],[-3.08619548],0.4477613007064947,0.7666390873542657,2.49257e-05,0.766591
[0.48318466],[2.7949836],[-2.93287723],0.044764392123470984,0.5956259863437907,-1.86243e-05,0.595622
[0.4831883],[2.79498437],[-2.81375282],0.3739589201200197,2.8059333032482066,2.029e-05,0.785398
[0.48318446],[2.79498307],[-2.65667318],0.374442713369594,-0.31809303478965134,1.01613e-11,-0.318093
[0.48318446],[2.79498307],[-2.72029179],0.5020328972581096,2.2410762204159873,8.26816e-10,0.785398
[0.48318446],[2.79498307],[-2.56321216],0.4876823591602131,0.12837109802538427,-3.14036e-11,0.128371
[0.48318446],[2.79498307],[-2.53753794],0.3757418102827635,-0.9674040207960601,1.35149e-09,-0.785398
[0.48318446],[2.79498307],[-2.69461757],0.07770643832453195,2.5511273538616033,-1.49394e-08,0.785398
[0.48318446],[2.79498307],[-2.53753794],0.5821778249663538,2.3928782023888635,1.43267e-08,0.785398
[0.48318446],[2.79498307],[-2.3804583],0.08777100587687285,2.1638377295486997,-1.24745e-08,0.785398
[0.48318446],[2.79498307],[-2.22337867],0.5537823508812885,-1.7298125936202027,1.3613e-08,-0.785398
[0.48318446],[2.79498307],[-2.3804583],0.3520167695335398,3.021549613372555,-1.4413e-09,0.785398
[0.48318446],[2.79498307],[-2.22337867],0.34450127181967477,2.4181365326701396,1.94645e-10,0.785398
[0.48318446],[2.79498307],[-2.06629903],0.28263393658279024,1.8670240172578092,-3.94901e-10,0.785398
[0.48318446],[2.79498307],[-1.9092194],0.047936430483622304,-2.0679030785051777,-5.23726e-08,-0.785398
[0.48318446],[2.79498308],[-2.06629903],0.26680268145951985,1.741246991192397,4.48455e-08,0.785398
[0.48318446],[2.79498307],[-1.9092194],0.5455981933116046,-0.09480630401902035,3.12999e-09,-0.0948063
[0.48318446],[2.79498307],[-1.92818066],0.4871838026119965,-0.5248166232915312,-3.26843e-10,-0.524817
